name,latitude,longitude,city,id
Canezza Maso Dràzeri,46.084558,11.277665,Trentino,bus_stop263
Viarago-Bivio,46.086387,11.277782,Trentino,bus_stop264
Mala-Loc.Agnoletti,46.088687,11.279789,Trentino,bus_stop265
Mala,46.090561,11.281509,Trentino,bus_stop266
S.Orsola-Loc.Mantovani,46.095744,11.289212,Trentino,bus_stop267
Stefani,46.098591,11.294201,Trentino,bus_stop268
S.Orsola-Loc.Bertoldi,46.102574,11.298238,Trentino,bus_stop269
S.Orsola,46.107694,11.301876,Trentino,bus_stop270
S.Orsola-Loc.Donadi,46.111675,11.306192,Trentino,bus_stop271
Bagni Terme di S.Orsola,46.113765,11.307884,Trentino,bus_stop272
S.Orsola-Loc. Doss Martin,46.114671,11.307595,Trentino,bus_stop273
Marcheli-Bivio Borti E Cont,46.117555,11.310062,Trentino,bus_stop274
Fontanari-Maso Marcheli,46.119435,11.313233,Trentino,bus_stop275
Fontanari,46.12117,11.316451,Trentino,bus_stop276
Palù Del F.-Redebus,46.130239,11.34091,Trentino,bus_stop277
Palù Del F.-Loc. Sigismondi,46.129806,11.34449,Trentino,bus_stop278
Palù Del F.-Hotel Lagorai,46.129513,11.348871,Trentino,bus_stop279
Palu' Del Fersina,46.129732,11.352863,Trentino,bus_stop280
S.Orsola,46.107832,11.302001,Trentino,bus_stop281
Moena-Hotel Campagnola,46.374005,11.665002,Trentino,bus_stop282
Alpe Lusia,46.367806,11.68605,Trentino,bus_stop283
Fango,46.368797,11.728391,Trentino,bus_stop284
Fango-Alb. Negritella,46.374788,11.751959,Trentino,bus_stop285
P.So S.Pellegrino-Segg.Cost.,46.378746,11.784385,Trentino,bus_stop286
Passo S.Pellegrino-Ht.Arnika,46.378141,11.789624,Trentino,bus_stop287
P.So S.Pellegrino-Chiesetta,46.378324,11.793361,Trentino,bus_stop288
P.So S.Pellegrino-Fun.C.Mar.,46.379111,11.802043,Trentino,bus_stop289
P.So S.Pellegrino-B. V.Freda,46.378811,11.813499,Trentino,bus_stop290
Zingari,46.376211,11.820585,Trentino,bus_stop291
Falcade Alto,46.355345,11.858403,Trentino,bus_stop292
Falcade-Chiesa,46.354317,11.86169,Trentino,bus_stop293
Falcade-Via Serafini,46.355063,11.866753,Trentino,bus_stop294
Falcade,46.358375,11.87286,Trentino,bus_stop295
Trento Off.Conotter,46.075975,11.101119,Trentino,bus_stop296
Trento-Via Brescia 4,46.070742,11.113498,Trentino,bus_stop297
Montevideo,46.08037,11.098519,Trentino,bus_stop298
Cadine,46.088572,11.064983,Trentino,bus_stop299
Terlago Bivio,46.091545,11.055123,Trentino,bus_stop300
Vigolo Baselga-Paese,46.081449,11.044962,Trentino,bus_stop301
Vigolo Baselga-Pallonc.Rosso,46.077626,11.032471,Trentino,bus_stop302
